Name,Description,Category,Priority,Due Date,Done,Recurrence
Doctor checkup,Annual physical examination,Health,Medium,03/12/2025,No,Weekly
Hotfix deployment,Push emergency fix to production,Work,Medium,03/12/2025,No,
Plan weekend trip,Research destinations and book accommodation,Personal,Low,03/12/2025,Yes,Weekly
Yoga session 15 minutes,Follow YouTube yoga for flexibility,Health,Medium,03/12/2025,Yes,
Return keyboard,Send back unwanted keyboard within return window,Shopping,Medium,03/12/2025,No,
Compare prices for notebook,Find best deal before purchasing,Shopping,High,03/12/2025,No,
Renew parking permit,Submit renewal before current one expires,General,Medium,03/12/2025,Yes,Monthly
Submit tax documents,Upload supporting documents to HMRC,Finance,Medium,03/12/2025,No,Weekly
Pick up prescription,Collect medication from pharmacy,Shopping,Medium,03/12/2025,Yes,
Update API documentation,Add new endpoints to Swagger docs,Work,Low,03/12/2025,Yes,Daily
Reply to emails,Clear inbox and action pending messages,General,Medium,03/12/2025,Yes,
Backup files to cloud,Sync important documents to cloud storage,General,Medium,04/12/2025,No,Daily
Compare insurance policies,Annual review of home and car cover,Finance,High,04/12/2025,Yes,
Compare insurance policies,Annual review of home and car cover,Finance,Medium,04/12/2025,No,
Gym workout — chest and triceps,Focus session on chest and triceps,Health,Medium,04/12/2025,No,
Rest day — stretching only,Active recovery with light stretching,Health,Low,04/12/2025,No,
Write technical spec for recurring tasks,Document architecture and implementation plan,Work,Low,04/12/2025,No,
Set up standing order,Automate monthly savings transfer,Finance,Low,04/12/2025,Yes,Daily
Update emergency contacts,Add new phone numbers and addresses,Personal,Low,04/12/2025,Yes,Monthly
Restock home office supplies,"Paper, pens, sticky notes and snacks",Shopping,Medium,04/12/2025,No,Monthly
Buy headphones,Purchase headphones from local store or online,Shopping,Low,04/12/2025,No,
Clean up desktop,Organise files and remove shortcuts,General,High,04/12/2025,No,Monthly
Fix auth bug in checkout,Investigate and resolve the issue in checkout,Work,High,04/12/2025,No,
Print insurance certificate,Download and print required insurance certificate,General,Medium,04/12/2025,Yes,Weekly
Grocery shop,Stock up on weekly essentials,Shopping,Medium,05/12/2025,Yes,Monthly
Reply to emails,Clear inbox and action pending messages,General,High,05/12/2025,Yes,
Track water intake,Aim for 2.5L throughout the day,Health,Low,05/12/2025,Yes,Daily
Rest day — stretching only,Active recovery with light stretching,Health,Medium,05/12/2025,No,
Fix auth bug in dashboard,Investigate and resolve the issue in dashboard,Work,Low,05/12/2025,No,
Pick up prescription,Collect medication from pharmacy,Shopping,Medium,05/12/2025,Yes,
Renew driving licence,Complete online renewal application,Personal,Medium,05/12/2025,Yes,Daily
Order vitamins online,Compare prices and place order for vitamins,Shopping,High,05/12/2025,No,Daily
Read chapter of Sapiens,Continue reading Sapiens,Personal,Medium,05/12/2025,No,
Buy running shoes,Purchase running shoes from local store or online,Shopping,Medium,05/12/2025,No,Monthly
Reply to emails,Clear inbox and action pending messages,General,Low,05/12/2025,Yes,Daily
Buy gift for dad,Find appropriate gift under budget,Shopping,Medium,05/12/2025,No,Monthly
Buy gift for mum,Find appropriate gift under budget,Shopping,Medium,05/12/2025,Yes,
Set up CI/CD pipeline,Automate build and deployment process,Work,Medium,05/12/2025,No,
Review credit card statement,Check for any unusual charges,Finance,Medium,06/12/2025,No,Monthly
Set up CI/CD pipeline,Automate build and deployment process,Work,Medium,06/12/2025,No,Monthly
Write unit tests for reports,Increase test coverage for reports,Work,Medium,06/12/2025,Yes,
Resolve merge conflict in API,Fix conflicting changes in branch,Work,Medium,06/12/2025,No,
Sort digital photo library,Organise and label photos from 2024,Personal,Low,06/12/2025,No,Monthly
Check investment portfolio,Review ETF performance and rebalance,Finance,Medium,06/12/2025,Yes,Daily
Fix minor bug in dashboard,Investigate and resolve the issue in dashboard,Work,Low,06/12/2025,No,Monthly
Clean up desktop,Organise files and remove shortcuts,General,Low,06/12/2025,No,
Sort digital photo library,Organise and label photos from 2024,Personal,High,06/12/2025,Yes,
Return monitor stand,Send back unwanted monitor stand within return window,Shopping,Low,06/12/2025,No,
Write in journal,Reflect on the week and set intentions,Personal,Low,06/12/2025,No,Daily
Review credit card statement,Check for any unusual charges,Finance,Low,06/12/2025,No,
Restock monitor stand,Running low — order more monitor stand,Shopping,High,07/12/2025,Yes,
Update passwords,Rotate credentials for key accounts,General,Medium,07/12/2025,Yes,Monthly
Restock winter jacket,Running low — order more winter jacket,Shopping,Low,07/12/2025,No,Monthly
File expense report,Collect receipts and submit via portal,Finance,High,07/12/2025,No,
Print insurance certificate,Download and print required insurance certificate,General,Medium,07/12/2025,No,Weekly
Security audit of dashboard,Review for vulnerabilities and patch issues,Work,Medium,07/12/2025,Yes,
Gym workout — legs,Focus session on legs,Health,Low,07/12/2025,No,
Organise home office,"Tidy cables, sort desk and restock supplies",Personal,Low,07/12/2025,Yes,Weekly
Update emergency contacts,Add new phone numbers and addresses,Personal,Medium,07/12/2025,No,
Follow up on desk lamp,Chase outstanding response on desk lamp,General,High,07/12/2025,Yes,
New Year goals review,Check progress on annual objectives,Personal,Low,07/12/2025,Yes,
Blood pressure check,Visit pharmacy for quick reading,Health,Medium,07/12/2025,No,
Reply to emails,Clear inbox and action pending messages,General,Medium,08/12/2025,No,
Check local news,Read area updates and community notices,General,Medium,08/12/2025,Yes,
Renew parking permit,Submit renewal before current one expires,General,Low,08/12/2025,Yes,
Check investment portfolio,Review ETF performance and rebalance,Finance,High,08/12/2025,Yes,Weekly
Submit tax documents,Upload supporting documents to HMRC,Finance,Low,08/12/2025,No,
Sort digital photo library,Organise and label photos from 2025,Personal,Medium,08/12/2025,No,
Renew driving licence,Complete online renewal application,Personal,Medium,08/12/2025,Yes,
Buy gift for Bob,Find appropriate gift under budget,Shopping,Medium,08/12/2025,No,Weekly
Update passwords,Rotate credentials for key accounts,General,Medium,08/12/2025,Yes,
Pick up prescription,Collect medication from pharmacy,Shopping,High,08/12/2025,Yes,
Pick up prescription,Collect medication from pharmacy,Shopping,Medium,08/12/2025,No,
Reply to emails,Clear inbox and action pending messages,General,Medium,08/12/2025,Yes,
Update API documentation,Add new endpoints to Swagger docs,Work,Low,08/12/2025,No,Monthly
Take vitamins,"D3, B12 and Omega-3 daily supplements",Health,High,08/12/2025,No,
Book physio appointment,Address recurring shoulder tension,Health,Medium,09/12/2025,No,Monthly
Pick up prescription,Collect medication from pharmacy,Shopping,Medium,09/12/2025,No,Weekly
Doctor checkup,Annual physical examination,Health,High,09/12/2025,No,
Review credit card statement,Check for any unusual charges,Finance,Medium,09/12/2025,Yes,Monthly
Deploy staging build,Push latest build to staging environment,Work,Medium,09/12/2025,Yes,
File expense report,Collect receipts and submit via portal,Finance,Medium,09/12/2025,No,Monthly
Fix CSS layout on profile page,Resolve responsive design issues,Work,Low,09/12/2025,Yes,
Pick up prescription,Collect medication from pharmacy,Shopping,Medium,09/12/2025,No,
Print insurance certificate,Download and print required insurance certificate,General,Medium,09/12/2025,Yes,
Read chapter of Atomic Habits,Continue reading Atomic Habits,Personal,Medium,09/12/2025,No,Weekly
Book eye test appointment,Schedule overdue check with optician,Personal,Low,09/12/2025,No,Daily
Set up standing order,Automate monthly savings transfer,Finance,Medium,09/12/2025,Yes,
Resolve merge conflict in dashboard,Fix conflicting changes in branch,Work,Medium,09/12/2025,No,
Track water intake,Aim for 2.5L throughout the day,Health,Low,09/12/2025,No,
Database migration script,Write and test migration for schema change,Work,Medium,10/12/2025,Yes,
Shop for winter essentials,Buy thermal layers and accessories,Shopping,Low,10/12/2025,Yes,
Write technical spec for dark mode,Document architecture and implementation plan,Work,Medium,10/12/2025,Yes,Weekly
Reply to emails,Clear inbox and action pending messages,General,Medium,10/12/2025,No,
Gym workout — core,Focus session on core,Health,High,10/12/2025,No,
Restock headphones,Running low — order more headphones,Shopping,Low,10/12/2025,No,Monthly
Renew parking permit,Submit renewal before current one expires,General,High,10/12/2025,Yes,Monthly
Meal prep healthy lunches,Cook proteins and salads for the week,Health,Low,10/12/2025,Yes,Daily
Book physio appointment,Address recurring shoulder tension,Health,Low,10/12/2025,Yes,
Fix CSS layout on dashboard page,Resolve responsive design issues,Work,Low,10/12/2025,Yes,
Meal prep healthy lunches,Cook proteins and salads for the week,Health,High,10/12/2025,Yes,
Team standup preparation,Prepare blockers and progress updates,Work,Medium,10/12/2025,Yes,
Check investment portfolio,Review ETF performance and rebalance,Finance,Medium,10/12/2025,Yes,
Meal prep for the week,Cook and portion meals for Monday to Friday,Personal,High,11/12/2025,Yes,
New Year goals review,Check progress on annual objectives,Personal,Low,11/12/2025,No,
Research AI trends,Read articles and save key notes,Personal,High,11/12/2025,No,Weekly
Sort digital photo library,Organise and label photos from 2025,Personal,Low,11/12/2025,No,Weekly
Compare insurance policies,Annual review of home and car cover,Finance,Medium,11/12/2025,No,Weekly
Restock vitamins,Running low — order more vitamins,Shopping,Medium,11/12/2025,No,Daily
Check investment portfolio,Review ETF performance and rebalance,Finance,High,11/12/2025,No,
Backup files to cloud,Sync important documents to cloud storage,General,Low,11/12/2025,Yes,
Restock desk lamp,Running low — order more desk lamp,Shopping,Low,11/12/2025,No,
Call Marco,Catch up with Marco over the phone,Personal,Medium,11/12/2025,No,
Implement notifications feature,Build and test the new functionality,Work,High,11/12/2025,Yes,
Check investment portfolio,Review ETF performance and rebalance,Finance,High,11/12/2025,No,
Backup files to cloud,Sync important documents to cloud storage,General,Medium,11/12/2025,Yes,
Renew driving licence,Complete online renewal application,Personal,Low,11/12/2025,Yes,
Check local news,Read area updates and community notices,General,Low,12/12/2025,Yes,Weekly
Track water intake,Aim for 2.5L throughout the day,Health,Medium,12/12/2025,Yes,
Book eye test appointment,Schedule overdue check with optician,Personal,Low,12/12/2025,Yes,
Review monthly budget,Check spending and adjust forecast,Finance,Medium,12/12/2025,Yes,Daily
Meditation 10 minutes,Mindfulness session using app,Health,Medium,12/12/2025,No,
Buy notebook,Purchase notebook from local store or online,Shopping,Low,12/12/2025,Yes,
Rest day — stretching only,Active recovery with light stretching,Health,Medium,12/12/2025,Yes,
Pay off credit card balance,Clear full balance before due date,Finance,Medium,12/12/2025,Yes,
Yoga session 30 minutes,Follow YouTube yoga for flexibility,Health,Low,12/12/2025,Yes,
Renew driving licence,Complete online renewal application,Personal,Medium,12/12/2025,No,
Review credit card statement,Check for any unusual charges,Finance,High,12/12/2025,No,
Return winter jacket,Send back unwanted winter jacket within return window,Shopping,Medium,12/12/2025,Yes,Weekly
Doctor checkup,Annual physical examination,Health,High,12/12/2025,No,Monthly
Restock home office supplies,"Paper, pens, sticky notes and snacks",Shopping,High,12/12/2025,Yes,
Doctor checkup,Annual physical examination,Health,Medium,12/12/2025,Yes,
Morning run 10km,Steady pace training run,Health,High,13/12/2025,No,
Buy gift for Bob,Find appropriate gift under budget,Shopping,Medium,13/12/2025,Yes,
Research pension contributions,Review employer match options,Finance,Medium,13/12/2025,Yes,Monthly
Meal prep for the week,Cook and portion meals for Monday to Friday,Personal,Medium,13/12/2025,No,
Review monthly budget,Check spending and adjust forecast,Finance,Medium,13/12/2025,No,Weekly
Print form,Download and print required form,General,Medium,13/12/2025,Yes,
Update API documentation,Add new endpoints to Swagger docs,Work,High,13/12/2025,Yes,
Team standup preparation,Prepare blockers and progress updates,Work,High,13/12/2025,Yes,
Transfer savings,Move surplus to ISA or investment account,Finance,Medium,13/12/2025,No,
Book eye test appointment,Schedule overdue check with optician,Personal,High,13/12/2025,No,Weekly
Research pension contributions,Review employer match options,Finance,Low,13/12/2025,Yes,
Set up standing order,Automate monthly savings transfer,Finance,High,13/12/2025,Yes,
Reply to emails,Clear inbox and action pending messages,General,Medium,14/12/2025,No,
Follow up on winter jacket,Chase outstanding response on winter jacket,General,Medium,14/12/2025,Yes,Monthly
Review credit card statement,Check for any unusual charges,Finance,Medium,14/12/2025,Yes,Weekly
Print form,Download and print required form,General,Medium,14/12/2025,No,
Schedule monthly review,Block calendar time for retrospective,General,Medium,14/12/2025,No,
New Year goals review,Check progress on annual objectives,Personal,High,14/12/2025,Yes,
Book eye test appointment,Schedule overdue check with optician,Personal,Medium,14/12/2025,Yes,
Set up CI/CD pipeline,Automate build and deployment process,Work,High,14/12/2025,No,Monthly
Research pension contributions,Review employer match options,Finance,Low,14/12/2025,No,
Client call preparation,Prepare slides and agenda for client meeting,Work,High,14/12/2025,Yes,
Cancel unused subscription,Remove service no longer needed,Finance,Medium,14/12/2025,No,
Meal prep for the week,Cook and portion meals for Monday to Friday,Personal,Low,14/12/2025,No,
Review credit card statement,Check for any unusual charges,Finance,High,14/12/2025,Yes,
Morning run 15km,Steady pace training run,Health,Low,14/12/2025,No,Weekly
Clean up desktop,Organise files and remove shortcuts,General,Medium,14/12/2025,Yes,
Buy gift for Alice,Find appropriate gift under budget,Shopping,Medium,15/12/2025,Yes,
Write in journal,Reflect on the week and set intentions,Personal,Medium,15/12/2025,No,
Track water intake,Aim for 2.5L throughout the day,Health,Medium,15/12/2025,Yes,
Call the team,Catch up with the team over the phone,Personal,Medium,15/12/2025,Yes,
Plan birthday celebration for Alice,"Organise venue, guests and cake",Personal,Low,15/12/2025,Yes,Weekly
Organise home office,"Tidy cables, sort desk and restock supplies",Personal,High,15/12/2025,No,
Update passwords,Rotate credentials for key accounts,General,Medium,15/12/2025,No,Daily
Sort digital photo library,Organise and label photos from 2025,Personal,Low,15/12/2025,No,Weekly
Morning run 5km,Steady pace training run,Health,Medium,15/12/2025,Yes,
Deep clean living room,Full clean of the living room,Personal,Medium,15/12/2025,No,Daily
Set up standing order,Automate monthly savings transfer,Finance,High,15/12/2025,Yes,
Clean up desktop,Organise files and remove shortcuts,General,Medium,15/12/2025,Yes,
Write technical spec for search,Document architecture and implementation plan,Work,Medium,15/12/2025,No,
Performance review write-up,Document achievements and goals,Work,Medium,15/12/2025,Yes,Monthly
Reply to emails,Clear inbox and action pending messages,General,High,16/12/2025,No,
File expense report,Collect receipts and submit via portal,Finance,Medium,16/12/2025,Yes,Monthly
Cancel unused subscription,Remove service no longer needed,Finance,Medium,16/12/2025,No,Monthly
Deep clean bedroom,Full clean of the bedroom,Personal,Medium,16/12/2025,Yes,Daily
Review credit card statement,Check for any unusual charges,Finance,High,16/12/2025,Yes,Monthly
Yoga session 20 minutes,Follow YouTube yoga for flexibility,Health,Medium,16/12/2025,No,Monthly
Read chapter of Deep Work,Continue reading Deep Work,Personal,Medium,16/12/2025,No,
Rest day — stretching only,Active recovery with light stretching,Health,Medium,16/12/2025,Yes,
Database migration script,Write and test migration for schema change,Work,Medium,16/12/2025,Yes,
Print insurance certificate,Download and print required insurance certificate,General,Medium,16/12/2025,No,Weekly
Plan weekend trip,Research destinations and book accommodation,Personal,High,16/12/2025,No,Monthly
Backup files to cloud,Sync important documents to cloud storage,General,Medium,16/12/2025,No,
Track water intake,Aim for 2.5L throughout the day,Health,Medium,16/12/2025,Yes,
Grocery shop,Stock up on weekly essentials,Shopping,High,17/12/2025,No,
Sort digital photo library,Organise and label photos from 2024,Personal,High,17/12/2025,No,
Order coffee beans online,Compare prices and place order for coffee beans,Shopping,Medium,17/12/2025,No,Monthly
Renew parking permit,Submit renewal before current one expires,General,Medium,17/12/2025,Yes,Daily
Rest day — stretching only,Active recovery with light stretching,Health,Medium,17/12/2025,No,Daily
Pay water bill,Monthly payment via online banking,Finance,High,17/12/2025,Yes,
Pay off credit card balance,Clear full balance before due date,Finance,Medium,17/12/2025,No,Weekly
Clean up desktop,Organise files and remove shortcuts,General,Low,17/12/2025,Yes,Weekly
New Year goals review,Check progress on annual objectives,Personal,Medium,17/12/2025,No,
Gym workout — shoulders,Focus session on shoulders,Health,Low,17/12/2025,No,
File expense report,Collect receipts and submit via portal,Finance,Low,17/12/2025,No,
Backup files to cloud,Sync important documents to cloud storage,General,High,17/12/2025,Yes,
Blood pressure check,Visit pharmacy for quick reading,Health,Medium,18/12/2025,No,
Backup files to cloud,Sync important documents to cloud storage,General,Low,18/12/2025,Yes,
Transfer savings,Move surplus to ISA or investment account,Finance,High,18/12/2025,No,
Update dependencies,Upgrade outdated packages to latest versions,Work,High,18/12/2025,No,Weekly
Call dad,Catch up with dad over the phone,Personal,Medium,18/12/2025,Yes,
Research pension contributions,Review employer match options,Finance,Medium,18/12/2025,No,
Take vitamins,"D3, B12 and Omega-3 daily supplements",Health,High,18/12/2025,Yes,Monthly
Deploy production build,Push latest build to production environment,Work,High,18/12/2025,No,Daily
Update emergency contacts,Add new phone numbers and addresses,Personal,High,18/12/2025,No,Monthly
Declutter wardrobe,Bag up old clothes for charity donation,Personal,High,18/12/2025,No,Weekly
Update emergency contacts,Add new phone numbers and addresses,Personal,Medium,18/12/2025,No,
Schedule monthly review,Block calendar time for retrospective,General,Medium,18/12/2025,Yes,
Book physio appointment,Address recurring shoulder tension,Health,Medium,18/12/2025,No,
Book physio appointment,Address recurring shoulder tension,Health,Medium,18/12/2025,No,
Reply to emails,Clear inbox and action pending messages,General,Medium,18/12/2025,No,
Meal prep for the week,Cook and portion meals for Monday to Friday,Personal,Medium,18/12/2025,No,
Weigh in and log progress,Record in health tracking app,Health,High,19/12/2025,Yes,
Gym workout — legs,Focus session on legs,Health,Low,19/12/2025,Yes,Daily
Rest day — stretching only,Active recovery with light stretching,Health,Low,19/12/2025,No,
Meal prep for the week,Cook and portion meals for Monday to Friday,Personal,High,19/12/2025,Yes,
Book eye test appointment,Schedule overdue check with optician,Personal,Low,19/12/2025,No,
Implement recurring tasks feature,Build and test the new functionality,Work,Medium,19/12/2025,Yes,
Meal prep healthy lunches,Cook proteins and salads for the week,Health,Medium,19/12/2025,No,
Clean up desktop,Organise files and remove shortcuts,General,Medium,19/12/2025,Yes,Weekly
Meditation 15 minutes,Mindfulness session using app,Health,High,19/12/2025,Yes,
Gym workout — core,Focus session on core,Health,Medium,19/12/2025,Yes,
Read chapter of Deep Work,Continue reading Deep Work,Personal,Medium,19/12/2025,No,Weekly
Buy gift for mum,Find appropriate gift under budget,Shopping,High,19/12/2025,Yes,Weekly
Clean up desktop,Organise files and remove shortcuts,General,Medium,19/12/2025,Yes,
